EntrezGeneID,Length,SYMBOL,GENENAME,luminal.pregnant,luminal.lactation,FDR,AveExpr,P value,MCL1-LA,MCL1-LB,MCL1-LC,MCL1-LD,MCL1-LE,MCL1-LF,MCL1-DG,MCL1-DH,MCL1-DI,MCL1-DJ,MCL1-DK,MCL1-DL,MCL1-LA CPM,MCL1-LB CPM,MCL1-LC CPM,MCL1-LD CPM,MCL1-LE CPM,MCL1-LF CPM,MCL1-DG CPM,MCL1-DH CPM,MCL1-DI CPM,MCL1-DJ CPM,MCL1-DK CPM,MCL1-DL CPM
68801,2781,Elovl5,"ELOVL family member 5, elongation of long chain fatty acids (yeast)",0,2.85075242065603,0.00000989702304825052,6.45472723817122,3.78311647991993e-9,1095,1127,1640,1765,7413,7869,1498,1375,1750,1361,1798,1767,53.697,51.916,73.736,80.270,299.832,319.135,64.492,63.137,72.612,60.048,83.514,88.282
381246,1926,Xkr9,X-linked Kx blood group related 9,0,3.85314143050309,0.0000136460846675516,-4.95526119345202,7.87119484878127e-9,0,0,0,0,4,4,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.162,0.162,0.000,0.000,0.000,0.000,0.000,0.000
544990,957,Gm5795,predicted gene 5795,0,4.76076912172458,0.0000136460846675516,-4.53985343448453,7.99665135693588e-9,0,0,0,0,7,9,0,0,1,1,0,0,0.000,0.000,0.000,0.000,0.283,0.365,0.000,0.000,0.041,0.044,0.000,0.000
20014,2716,Rpn2,ribophorin II,0,1.10735744306688,0.0000136460846675516,7.55832247553323,8.03331081646952e-9,5123,5423,5667,5128,7208,7259,3784,3213,3560,3096,2381,2341,251.225,249.814,254.793,233.216,291.541,294.396,162.909,147.535,147.713,136.596,110.593,116.960
11416,3109,Slc33a1,"solute carrier family 33 (acetyl-CoA transporter), member 1",0,2.59047886225112,0.0000136460846675516,4.25684983783083,7.65944645776091e-9,329,343,324,266,1088,1121,281,291,414,396,454,511,16.134,15.801,14.567,12.097,44.006,45.463,12.098,13.362,17.178,17.472,21.088,25.530
20531,4175,Slc34a2,"solute carrier family 34 (sodium phosphate), member 2",0,4.16427637682554,0.0000138345125765725,4.27815174228314,8.653251179283e-9,268,363,1845,1540,16923,20965,24,40,139,94,171,202,13.142,16.722,82.953,70.037,684.481,850.256,1.033,1.837,5.767,4.147,7.943,10.092
56072,2755,Lgals12,"lectin, galactose binding, soluble 12",0,2.35342829470999,0.0000141829937414977,3.01286325023531,9.39305667415868e-9,309,275,612,563,1858,1880,46,45,107,70,26,27,15.153,12.668,27.516,25.605,75.150,76.245,1.980,2.066,4.440,3.088,1.208,1.349
212442,1889,Lactb2,"lactamase, beta 2",0,1.59435710708086,0.0000173345421691051,3.16319723840418,1.8476847512298e-8,293,332,201,182,344,377,141,119,135,122,180,177,14.368,15.294,9.037,8.277,13.914,15.290,6.070,5.464,5.601,5.383,8.361,8.843
213006,4853,Mfsd4a,major facilitator superfamily domain containing 4A,0,2.54307119428408,0.0000173345421691051,3.93501711654673,1.70805409076648e-8,304,354,280,230,882,968,318,273,318,321,241,200,14.908,16.307,12.589,10.460,35.674,39.258,13.691,12.536,13.195,14.163,11.194,9.992
14667,4257,Gm2a,GM2 ganglioside activator protein,0,1.87553050978977,0.0000173345421691051,6.81297244881021,1.78663763360141e-8,2272,2680,6809,6947,15459,15967,901,859,961,775,1231,1267,111.416,123.456,306.138,315.942,625.267,647.557,38.790,39.444,39.874,34.193,57.178,63.301
270328,2142,Gsdmc3,gasdermin C3,0,4.63304506628693,0.0000173345421691051,-3.44177407878984,1.79858670849091e-8,0,0,2,1,31,28,0,0,1,1,3,3,0.000,0.000,0.090,0.045,1.254,1.136,0.000,0.000,0.041,0.044,0.139,0.150
224022,3231,Slc7a4,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 4",0,2.66599043314855,0.0000173345421691051,2.89886343664368,1.67901676380585e-8,468,556,341,323,1206,1428,77,66,43,34,31,38,22.950,25.612,15.332,14.690,48.779,57.914,3.315,3.031,1.784,1.500,1.440,1.899
20440,4836,St6gal1,"beta galactoside alpha 2,6 sialyltransferase 1",0,2.83450835576541,0.0000173345421691051,5.91549994861069,1.95898812601446e-8,369,324,2771,2728,11746,12694,1489,1384,892,671,422,520,18.095,14.925,124.586,124.066,475.088,514.817,64.105,63.551,37.011,29.605,19.601,25.980
224530,1991,Acat3,acetyl-Coenzyme A acetyltransferase 3,0,2.56567854650605,0.0000173345421691051,3.67380751692848,1.4223454990951e-8,204,206,237,193,802,781,289,268,264,222,261,201,10.004,9.490,10.656,8.777,32.438,31.674,12.442,12.306,10.954,9.795,12.123,10.042
110460,2076,Acat2,acetyl-Coenzyme A acetyltransferase 2,0,2.47945730543763,0.0000173345421691051,4.43439934977973,1.81483990325561e-8,323,356,412,352,1387,1266,475,415,436,352,477,383,15.839,16.399,18.524,16.009,56.100,51.344,20.450,19.056,18.091,15.530,22.156,19.135
66286,770,Sec11c,"SEC11 homolog C, signal peptidase complex subunit",0,1.47654515058601,0.0000173345421691051,5.10775342132185,1.28517749822081e-8,606,668,1914,1536,2922,3027,405,385,512,469,340,328,29.717,30.772,86.055,69.856,118.186,122.763,17.436,17.678,21.244,20.692,15.792,16.387
20249,4837,Scd1,stearoyl-Coenzyme A desaturase 1,0,3.2837748038602,0.0000173345421691051,9.11047652959858,1.96045673320444e-8,9082,9691,46993,45975,268030,296443,1646,1273,4181,2715,6014,5907,445.368,446.422,2112.842,2090.890,10840.959,12022.528,70.864,58.454,173.480,119.786,279.340,295.123
100705,8485,Acacb,acetyl-Coenzyme A carboxylase beta,0,4.30106794736984,0.0000173345421691051,4.44043641334336,1.59305419710276e-8,187,285,569,537,6275,7344,208,270,227,219,259,312,9.170,13.129,25.583,24.422,253.804,297.843,8.955,12.398,9.419,9.662,12.030,15.588
11941,7050,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",0,7.37364564862575,0.0000173345421691051,1.28166585428973,1.97715444733896e-8,9,13,63,87,6688,8723,10,13,5,5,77,48,0.441,0.599,2.833,3.957,270.508,353.770,0.431,0.597,0.207,0.221,3.577,2.398
20832,804,Ssr4,"signal sequence receptor, delta",0,1.39187531300978,0.0000173345421691051,6.63484467924905,1.22587420284427e-8,2397,2422,4221,4180,6921,6805,1399,1392,1578,1437,840,812,117.545,111.571,189.779,190.102,279.932,275.983,60.230,63.918,65.475,63.401,39.017,40.569
70335,2016,Reep6,receptor accessory protein 6,0,1.51713459420205,0.0000174065317074236,3.05914900948109,2.04940952440324e-8,558,585,511,444,841,859,99,71,85,71,28,26,27.364,26.948,22.975,20.193,34.016,34.838,4.262,3.260,3.527,3.133,1.301,1.299
26366,1050,Ceacam10,carcinoembryonic antigen-related cell adhesion molecule 10,0,3.28237600567795,0.0000174789638355067,1.82053694327486,2.12224808334274e-8,309,243,391,337,2176,2232,3,3,20,8,22,25,15.153,11.194,17.580,15.326,88.012,90.521,0.129,0.138,0.830,0.353,1.022,1.249
19158,2527,Cyth2,cytohesin 2,0,-1.06969076134905,0.0000180868034708759,6.34449636259166,2.26259729206291e-8,3054,3183,2135,2051,634,607,2673,2393,2008,1765,1880,1859,149.764,146.627,95.991,93.277,25.643,24.617,115.078,109.882,83.317,77.872,87.323,92.879
228790,6674,Asxl1,ASXL transcriptional regulator 1,0,-1.52287552441156,0.0000184903053282299,6.34062415115893,2.42980745069221e-8,2179,2469,2238,2173,488,467,2997,2636,3014,2566,1860,1854,106.855,113.736,100.622,98.826,19.738,18.940,129.027,121.040,125.058,113.212,86.394,92.629
52150,4089,Kcnk6,"potassium inwardly-rectifying channel, subfamily K, member 6",0,2.40434212212073,0.0000184903053282299,3.22259182685249,2.46409559583407e-8,55,81,1261,1148,3610,4361,55,52,88,68,64,58,2.697,3.731,56.696,52.210,146.013,176.865,2.368,2.388,3.651,3.000,2.973,2.898
14381,2616,G6pdx,glucose-6-phosphate dehydrogenase X-linked,0,1.43375840246882,0.0000184903053282299,5.48873801901096,2.51716875950001e-8,1972,2140,1420,1342,2286,2359,745,652,552,426,462,458,96.704,98.580,63.844,61.033,92.461,95.671,32.074,29.939,22.904,18.795,21.459,22.882
217294,1952,BC006965,cDNA sequence BC006965,0,-3.74119959676011,0.0000185707967354825,4.18679061951495,2.86672009220716e-8,661,727,1472,1304,76,54,215,205,600,605,558,603,32.414,33.490,66.182,59.304,3.074,2.190,9.256,9.413,24.895,26.693,25.918,30.127
72027,2226,Slc39a4,"solute carrier family 39 (zinc transporter), member 4",0,-4.37439804303324,0.0000185707967354825,2.74831246659889,2.80852591564457e-8,234,225,1984,1871,70,47,189,215,122,96,19,21,11.475,10.365,89.202,85.091,2.831,1.906,8.137,9.872,5.062,4.236,0.883,1.049
12683,1164,Cidea,"cell death-inducing DNA fragmentation factor, alpha subunit-like effector A",0,4.82811790212295,0.0000185707967354825,3.3744801761248,2.68356056013069e-8,98,158,862,1256,17555,19171,11,5,48,53,176,147,4.806,7.278,38.756,57.121,710.044,777.498,0.474,0.230,1.992,2.338,8.175,7.344
69219,3747,Ddah1,dimethylarginine dimethylaminohydrolase 1,0,6.25080313286848,0.0000185707967354825,1.17619204909406,2.61685668522295e-8,27,30,27,37,1624,1408,21,16,13,23,38,32,1.324,1.382,1.214,1.683,65.686,57.103,0.904,0.735,0.539,1.015,1.765,1.599
54352,2403,Irx5,Iroquois homeobox 5,0,-1.7653561419967,0.0000185707967354825,5.43479410901675,2.86976512340508e-8,1561,1812,1822,1686,336,306,1189,1128,1129,1058,665,703,76.549,83.471,81.919,76.677,13.590,12.410,51.189,51.796,46.845,46.679,30.888,35.123
17449,1958,Mdh1,"malate dehydrogenase 1, NAD (soluble)",0,1.63211095341017,0.0000185895796279014,7.48052025625227,3.00946136218279e-8,3870,4102,5318,4706,9668,9649,2915,2367,3773,3212,2487,2143,189.779,188.961,239.101,214.023,391.040,391.324,125.497,108.688,156.551,141.714,115.517,107.068
74315,7020,Rnf145,ring finger protein 145,0,1.24278891659205,0.0000185895796279014,6.48828095066238,3.00092001024031e-8,1855,1899,3132,2834,4345,4438,1499,1326,1740,1750,1125,1046,90.967,87.479,140.817,128.887,175.741,179.987,64.535,60.887,72.197,77.210,52.254,52.260
14598,2022,Ggt1,gamma-glutamyltransferase 1,0,3.00488775457839,0.0000197942920988552,6.0952766321705,3.38949364370654e-8,1020,1365,417,411,1982,2160,3053,2486,2556,2329,1932,1829,50.019,62.880,18.749,18.692,80.166,87.601,131.438,114.152,106.055,102.756,89.738,91.380
66120,736,Fkbp11,FK506 binding protein 11,0,2.24902758514018,0.0000197942920988552,4.95561366644253,3.4341996555126e-8,665,569,2575,2217,7010,7143,351,355,275,202,143,115,32.611,26.211,115.774,100.827,283.532,289.691,15.111,16.301,11.410,8.912,6.642,5.746
109154,5952,Mlec,malectin,0,1.80583617857583,0.0000197942920988552,7.43697749527798,3.49580934083318e-8,4500,5037,5385,4109,10486,10019,3267,2872,2271,2004,2272,2249,220.674,232.033,242.114,186.873,424.125,406.330,140.651,131.877,94.229,88.417,105.530,112.364
258173,924,Olfr1532,olfactory receptor 1532,0,4.36645954652155,0.0000197942920988552,-4.86972184250525,3.45017543215093e-8,0,0,0,0,5,7,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.202,0.284,0.000,0.000,0.000,0.000,0.000,0.000
19659,2628,Rbp1,"retinol binding protein 1, cellular",0,-5.45602718206352,0.0000203921657578014,6.10655588873207,3.75145622682979e-8,1872,2198,4713,3816,81,44,6055,5616,3529,2911,1396,1373,91.800,101.252,211.900,173.547,3.276,1.784,260.681,257.876,146.427,128.434,64.842,68.597
100041649,398,Mpc1-ps,"mitochondrial pyruvate carrier 1, pseudogene",0,1.63600771035265,0.0000208049517722345,4.54584389881331,3.90394253057125e-8,368,402,880,860,1734,1634,319,249,396,329,347,359,18.046,18.518,39.565,39.112,70.135,66.268,13.734,11.434,16.431,14.516,16.118,17.936
225908,5597,Myrf,myelin regulatory factor,0,2.3357969734561,0.0000209111130954031,0.71804279291634,4.15467863847738e-8,39,33,130,118,411,371,10,11,16,14,10,6,1.913,1.520,5.845,5.367,16.624,15.046,0.431,0.505,0.664,0.618,0.464,0.300
22051,1760,Trip6,thyroid hormone receptor interactor 6,0,-2.34928595646229,0.0000209111130954031,5.66357426286303,4.02609109872877e-8,1545,1783,1472,1524,186,179,1765,1497,2101,1904,1470,1402,75.765,82.135,66.182,69.310,7.523,7.260,75.987,68.739,87.176,84.005,68.279,70.046
53381,975,Prdx4,peroxiredoxin 4,0,1.86940198607482,0.0000209111130954031,6.11150729539433,4.08837635506023e-8,1560,1837,2255,2076,4868,4980,1040,1076,1216,1000,714,591,76.500,84.623,101.387,94.414,196.895,201.969,44.774,49.408,50.455,44.120,33.164,29.527
226499,3242,Odr4,odr4 GPCR localization factor homolog,0,1.53231146466049,0.0000211017687574342,5.19251827049565,5.42635929467962e-8,592,632,700,646,1178,1246,737,767,787,786,1025,1002,29.031,29.113,31.473,29.379,47.646,50.533,31.729,35.219,32.655,34.678,47.609,50.061
97895,3527,Nlrp4f,"NLR family, pyrin domain containing 4F",0,3.00514462033972,0.0000211017687574342,-5.09659401121117,5.3389615262297e-8,0,0,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.081,0.081,0.000,0.000,0.000,0.000,0.000,0.000
100038846,993,NA,NA,0,3.00514462033972,0.0000211017687574342,-5.09659401121117,5.3389615262297e-8,0,0,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.081,0.081,0.000,0.000,0.000,0.000,0.000,0.000
68263,1485,Pdhb,pyruvate dehydrogenase (lipoamide) beta,0,1.18744953247072,0.0000211017687574342,6.24550273111942,4.93039060576144e-8,1223,1275,3294,3092,4439,4615,1239,1093,1490,1194,885,821,59.974,58.734,148.101,140.621,179.543,187.166,53.342,50.189,61.824,52.679,41.107,41.018
69179,3738,Stimate,STIM activating enhancer,0,1.80375847469469,0.0000211017687574342,4.67332108698798,5.4038149863559e-8,557,595,735,662,1403,1641,418,337,413,361,389,390,27.314,27.409,33.046,30.107,56.747,66.552,17.996,15.474,17.136,15.927,18.068,19.485
56738,2644,Mocs1,molybdenum cofactor synthesis 1,0,1.7414749162092,0.0000211017687574342,4.98457989898472,5.10124668858603e-8,376,431,2088,2056,4063,4579,261,240,377,348,360,411,18.439,19.854,93.878,93.505,164.335,185.706,11.237,11.020,15.643,15.354,16.721,20.534
64291,5306,Osbpl1a,oxysterol binding protein-like 1A,0,2.53328807383086,0.0000211017687574342,5.53187886732015,4.46982708649522e-8,744,830,951,838,3167,3275,613,761,1005,841,897,832,36.485,38.234,42.758,38.111,128.095,132.821,26.391,34.944,41.700,37.105,41.664,41.568
73166,1479,Tm7sf2,transmembrane 7 superfamily member 2,0,2.65037285248788,0.0000211017687574342,2.9564037871768,5.43479823768496e-8,176,232,155,135,610,528,109,106,107,98,157,138,8.631,10.687,6.969,6.140,24.673,21.414,4.693,4.867,4.440,4.324,7.292,6.895
73598,1591,1700001O22Rik,RIKEN cDNA 1700001O22 gene,0,2.3920134691442,0.0000211017687574342,1.19875736386025,5.06620571241715e-8,121,134,65,57,190,211,23,28,20,20,20,23,5.934,6.173,2.922,2.592,7.685,8.557,0.990,1.286,0.830,0.882,0.929,1.149
215280,4397,Wipf1,"WAS/WASL interacting protein family, member 1",0,1.67014791565623,0.0000211017687574342,4.9625021569368,4.95019965924114e-8,355,378,284,282,538,584,1164,1104,1285,1252,1432,1313,17.409,17.413,12.769,12.825,21.760,23.685,50.113,50.694,53.318,55.238,66.514,65.600
229725,3601,Clcc1,chloride channel CLIC-like 1,0,1.64015052827386,0.0000211017687574342,4.91547707322512,4.6585396705549e-8,708,666,474,416,896,831,843,803,688,621,698,636,34.719,30.680,21.311,18.919,36.240,33.702,36.293,36.872,28.547,27.399,32.421,31.776
170439,5951,Elovl6,"ELOVL family member 6, elongation of long chain fatty acids (yeast)",0,3.16840524033936,0.0000211017687574342,5.03212634159765,4.6669120564479e-8,825,657,533,412,2726,2541,457,423,549,436,795,773,40.457,30.265,23.964,18.737,110.258,103.053,19.675,19.423,22.779,19.236,36.926,38.620
233222,1295,Mrgpra3,"MAS-related GPR, member A3",0,3.00514462033972,0.0000211017687574342,-5.09659401121117,5.3389615262297e-8,0,0,0,0,2,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.081,0.081,0.000,0.000,0.000,0.000,0.000,0.000
69551,3307,2310022B05Rik,RIKEN cDNA 2310022B05 gene,0,-1.22623308516876,0.0000211017687574342,5.11621404059935,5.05780714125907e-8,790,884,689,637,180,172,1192,1080,1665,1509,1299,1182,38.740,40.722,30.978,28.970,7.280,6.976,51.318,49.592,69.085,66.577,60.336,59.055
67213,3352,Cmtm6,CKLF-like MARVEL transmembrane domain containing 6,0,1.71642433021828,0.0000211017687574342,7.69956518148585,5.10704944920111e-8,3832,3990,7959,7521,15319,16363,3453,3568,2763,2382,2572,2135,187.916,183.802,357.843,342.046,619.605,663.617,148.659,163.836,114.644,105.094,119.465,106.668
52665,3180,Echdc1,enoyl Coenzyme A hydratase domain containing 1,0,2.17299366333861,0.00002170141352055,2.8888799896357,5.94081394987958e-8,202,203,190,179,480,560,132,103,86,86,109,100,9.906,9.351,8.543,8.141,19.414,22.711,5.683,4.730,3.568,3.794,5.063,4.996
70363,4623,Fam135b,"family with sequence similarity 135, member B",0,3.67190075536071,0.00002170141352055,-4.98547536673408,6.10903991596348e-8,0,0,0,0,3,4,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.121,0.162,0.000,0.000,0.000,0.000,0.000,0.000
14711,1032,Gnmt,glycine N-methyltransferase,0,2.53274627388999,0.00002170141352055,2.45796718083892,6.09119350170787e-8,31,36,129,118,435,457,87,61,123,133,186,204,1.520,1.658,5.800,5.367,17.594,18.534,3.746,2.801,5.104,5.868,8.639,10.192
67655,3685,Ctdp1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1",0,-1.41367408344566,0.00002170141352055,4.72665239862864,6.29481825545378e-8,798,887,807,765,173,194,990,903,888,751,461,457,39.133,40.860,36.283,34.791,6.997,7.868,42.622,41.464,36.845,33.134,21.413,22.832
407243,1700,Peds1,plasmanylethanolamine desaturase 1,0,1.19374700598062,0.00002170141352055,5.18251977594743,6.30785410840521e-8,1240,1454,1069,1016,1439,1531,625,565,558,496,462,421,60.808,66.979,48.063,46.207,58.203,62.091,26.908,25.944,23.153,21.884,21.459,21.034
64138,1393,Ctsz,cathepsin Z,0,1.46174511337941,0.00002170141352055,6.65072636644652,6.30667150141845e-8,2136,2417,2054,1942,3477,3375,2291,2242,2391,2084,1785,1503,104.746,111.341,92.349,88.320,140.634,136.876,98.632,102.948,99.208,91.946,82.910,75.092
71876,2467,Cenpu,centromere protein U,0,2.17664775639182,0.00002170141352055,0.963168311745086,6.01944177446664e-8,48,56,71,60,190,180,37,32,31,28,8,12,2.354,2.580,3.192,2.729,7.685,7.300,1.593,1.469,1.286,1.235,0.372,0.600
66427,4294,Cyb5b,cytochrome b5 type B,0,1.81142837798311,0.00002170141352055,6.60052928752129,6.022507351101e-8,1374,1389,2897,2446,5349,6335,1617,1429,1814,1542,1994,1850,67.379,63.985,130.251,111.241,216.350,256.922,69.615,65.617,75.267,68.033,92.618,92.429
12705,975,Cited1,Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1,0,3.51933664712084,0.00002170141352055,3.32321837267396,6.24303479071632e-8,5888,5705,157,168,1295,1038,113,90,31,34,36,32,288.739,262.804,7.059,7.640,52.379,42.097,4.865,4.133,1.286,1.500,1.672,1.599
211347,7365,Pank3,pantothenate kinase 3,0,1.60552964619711,0.0000217376264105969,7.06595944570236,6.3983594423921e-8,2353,2418,2784,2410,4740,5087,3039,2754,3031,2465,3272,2788,115.388,111.387,125.171,109.604,191.718,206.308,130.835,126.459,125.764,108.756,151.979,139.293
12005,3779,Axin1,axin 1,0,-1.3786132073089,0.0000219009536541874,6.40657783391288,6.52701440814299e-8,2609,2953,2917,2649,676,655,2537,2486,2667,2162,1515,1498,127.942,136.032,131.151,120.473,27.342,26.564,109.223,114.152,110.660,95.388,70.369,74.842
100710,7308,Pds5b,PDS5 cohesin associated factor B,0,1.9231244764838,0.0000225334522830906,5.77209606754989,6.88132948046844e-8,950,1024,740,636,1694,1553,1813,1689,1686,1269,1189,1182,46.587,47.171,33.271,28.925,68.517,62.983,78.054,77.556,69.956,55.988,55.227,59.055
71310,5848,Tbc1d9,"TBC1 domain family, member 9",0,-2.25255014136183,0.0000225334522830906,6.30450444598123,6.8218198784148e-8,1381,1565,2775,2580,373,327,3162,2869,3368,2654,2657,2286,67.722,72.093,124.766,117.335,15.087,13.262,136.131,131.739,139.747,117.095,123.413,114.212
432466,1550,Gm5424,argininosuccinate synthase pseudogene,0,1.70953386454878,0.0000230032992895925,3.51620061020202,7.19408528501917e-8,253,289,713,739,1483,1471,293,277,89,63,52,38,12.407,13.313,32.057,33.609,59.983,59.658,12.614,12.719,3.693,2.780,2.415,1.899
192166,4558,Sardh,sarcosine dehydrogenase,0,2.16559876222403,0.0000238602743550053,4.7884010017449,7.54988628915873e-8,259,300,390,337,987,1043,618,595,1514,1143,662,696,12.701,13.820,17.535,15.326,39.921,42.300,26.606,27.321,62.820,50.429,30.749,34.773
107975,4342,Pacs1,phosphofurin acidic cluster sorting protein 1,0,-1.33111513043197,0.0000240865597057784,5.67954901382137,7.7987315725689e-8,2121,2457,1590,1531,370,402,1271,1212,1216,1124,1148,1125,104.011,113.183,71.488,69.628,14.965,16.303,54.719,55.653,50.455,49.591,53.323,56.207
30057,527,Timm8b,translocase of inner mitochondrial membrane 8B,0,1.85465494554274,0.0000240865597057784,4.24899689538435,7.77400605743583e-8,481,475,446,383,877,991,328,315,323,327,330,283,23.588,21.881,20.053,17.418,35.472,40.191,14.121,14.464,13.402,14.427,15.328,14.139
73635,1461,Ptges3l,prostaglandin E synthase 3 like,0,3.27847459402326,0.0000244027059130589,2.00087445706467,7.99087834821827e-8,74,88,26,29,162,174,94,93,143,107,112,118,3.629,4.054,1.169,1.319,6.552,7.057,4.047,4.270,5.933,4.721,5.202,5.895
22232,2715,Slc35a2,"solute carrier family 35 (UDP-galactose transporter), member A2",0,1.28533781053473,0.0000250575692694469,4.63130134410652,8.29751364748601e-8,603,644,819,761,1180,1217,418,333,345,342,398,367,29.570,29.666,36.823,34.609,47.727,49.357,17.996,15.291,14.315,15.089,18.486,18.336
60525,2833,Acss2,acyl-CoA synthetase short-chain family member 2,0,2.53513640739896,0.000025231661655059,4.11442572395963,8.54083252608789e-8,219,218,558,515,1753,2138,186,150,290,225,320,375,10.739,10.042,25.088,23.422,70.903,86.709,8.008,6.888,12.033,9.927,14.863,18.736
99982,3015,Kdm1a,lysine (K)-specific demethylase 1A,0,-1.33336831486512,0.000025231661655059,6.46051539211197,8.5071099783185e-8,2976,3262,2532,2450,618,612,2745,2361,3014,2517,1722,1767,145.939,150.266,113.841,111.423,24.996,24.820,118.178,108.413,125.058,111.050,79.984,88.282
66270,3346,Retreg1,reticulophagy regulator 1,0,1.42500418435929,0.0000253512327597072,7.07459156091865,8.67458201792844e-8,1956,2124,4556,4821,7838,7828,1852,1609,2794,2388,2254,2248,95.919,97.843,204.841,219.254,317.022,317.472,79.733,73.882,115.930,105.359,104.694,112.314
228140,5747,Tnks1bp1,tankyrase 1 binding protein 1,0,-1.26285702984921,0.0000262659690453684,6.62196318412019,9.08422344554482e-8,2958,3447,2346,2220,608,576,3442,3237,3187,3061,2580,2503,145.056,158.788,105.478,100.963,24.592,23.360,148.186,148.637,132.236,135.052,119.837,125.054
70358,1216,Steap1,six transmembrane epithelial antigen of the prostate 1,0,3.89379214700365,0.0000262756289223334,1.14993749275527,9.18424058141091e-8,116,145,67,52,522,584,17,10,20,17,19,9,5.688,6.680,3.012,2.365,21.113,23.685,0.732,0.459,0.830,0.750,0.883,0.450
116873,4910,Stim2,stromal interaction molecule 2,0,1.76710417504121,0.0000265174555915511,5.04754760623674,9.3663333337831e-8,607,682,834,674,1541,1644,755,679,848,649,422,380,29.766,31.417,37.497,30.653,62.329,66.674,32.504,31.178,35.186,28.634,19.601,18.985
